file,million fragments
SRR12604206_1.fastq.gz,33.65888400000000000000
SRR12604188_1.fastq.gz,38.57383700000000000000
SRR12604216_1.fastq.gz,61.37822900000000000000
SRR12604172_1.fastq.gz,47.69714500000000000000
SRR12604160_1.fastq.gz,48.09177500000000000000
SRR12604114_1.fastq.gz,43.97368300000000000000
SRR12604107_1.fastq.gz,54.03220800000000000000
SRR12604158_1.fastq.gz,35.65989100000000000000
SRR12604122_1.fastq.gz,44.85995200000000000000
SRR12604127_1.fastq.gz,41.34198000000000000000
SRR12604139_1.fastq.gz,83.42923400000000000000
SRR12604168_1.fastq.gz,46.54112000000000000000
SRR12604161_1.fastq.gz,35.89521200000000000000
SRR12604148_1.fastq.gz,54.33499900000000000000
SRR12604199_1.fastq.gz,37.86766200000000000000
SRR12604226_1.fastq.gz,47.41230200000000000000
SRR12604126_1.fastq.gz,45.19383700000000000000
SRR12604167_1.fastq.gz,40.45811600000000000000
SRR12604143_1.fastq.gz,53.54488600000000000000
SRR12604138_1.fastq.gz,69.59756300000000000000
SRR12604134_1.fastq.gz,52.85638900000000000000
SRR12604129_1.fastq.gz,95.71623500000000000000
SRR12604218_1.fastq.gz,48.38884300000000000000
SRR12604095_1.fastq.gz,45.16444800000000000000
SRR12604099_1.fastq.gz,46.63068200000000000000
SRR12604165_1.fastq.gz,38.57383200000000000000
SRR12604101_1.fastq.gz,41.66838600000000000000
SRR12604183_1.fastq.gz,51.07468100000000000000
SRR12604157_1.fastq.gz,36.24961500000000000000
SRR12604154_1.fastq.gz,.09985400000000000000
SRR12604112_1.fastq.gz,28.73431100000000000000
SRR12604223_1.fastq.gz,44.68980900000000000000
SRR12604120_1.fastq.gz,46.85806200000000000000
SRR12604169_1.fastq.gz,52.86187100000000000000
SRR12604201_1.fastq.gz,34.33403500000000000000
SRR12604147_1.fastq.gz,48.70009900000000000000
SRR12604098_1.fastq.gz,33.57364300000000000000
SRR12604190_1.fastq.gz,36.00403600000000000000
SRR12604178_1.fastq.gz,35.03610300000000000000
SRR12604130_1.fastq.gz,35.48557400000000000000
SRR12604193_1.fastq.gz,34.83318000000000000000
SRR12604174_1.fastq.gz,37.00557500000000000000
SRR12604220_1.fastq.gz,45.02639800000000000000
SRR12604131_1.fastq.gz,54.60978000000000000000
SRR12604111_1.fastq.gz,52.89516600000000000000
SRR12604187_1.fastq.gz,33.23868900000000000000
SRR12604113_1.fastq.gz,50.77660100000000000000
SRR12604116_1.fastq.gz,42.34952900000000000000
SRR12604194_1.fastq.gz,43.73850200000000000000
SRR12604211_1.fastq.gz,44.40530100000000000000
SRR12604198_1.fastq.gz,42.22548100000000000000
SRR12604209_1.fastq.gz,56.43819700000000000000
SRR12604215_1.fastq.gz,47.82641100000000000000
SRR12604175_1.fastq.gz,39.95904100000000000000
SRR12604180_1.fastq.gz,44.33399400000000000000
SRR12604213_1.fastq.gz,45.41124100000000000000
SRR12604135_1.fastq.gz,36.75718200000000000000
SRR12604146_1.fastq.gz,51.33757400000000000000
SRR12604152_1.fastq.gz,47.12209400000000000000
SRR12604181_1.fastq.gz,40.63186900000000000000
SRR12604100_1.fastq.gz,44.68807100000000000000
SRR12604189_1.fastq.gz,44.72323000000000000000
SRR12604137_1.fastq.gz,81.42747700000000000000
SRR12604156_1.fastq.gz,55.11591100000000000000
